,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
112,-2.5746016207836435,-5.714281651491187,-3.5161997075271882,-4.086568757525905,-1.7564201027827462,-2.21372765225038,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
113,-2.568821257868144,-5.714281651491187,-3.497777478793726,-4.0414920628903,-1.602269422955488,-1.7070655865987487,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
114,-2.571707262757279,-5.315027803382298,-3.6637557643482506,-3.9993397725218394,-1.4081134085145304,-1.3495993414436314,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
115,-2.5659435580405288,-5.1838456711485525,-3.473409801369614,-3.9907590468742153,-1.4687380303309652,-1.3211933100440587,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
116,-2.5630741156125763,-5.095900337916719,-3.4928562090189206,-3.931786193930561,-1.3235560204864674,-1.7070655865987476,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
117,-2.558785331340358,-4.987564819512423,-3.673706095201419,-3.8766379851462127,-1.3235560204864674,-1.7070655865987476,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
118,-2.554514862216906,-4.866983791103979,-3.8837011736721228,-4.077446457335757,-1.002648300406366,-0.4816513986197297,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
119,-2.5418117979606527,-5.742860858411167,-3.6801977084379263,-3.934550533124703,-1.002648300406366,-0.4816513986197297,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
120,-2.536217377775328,-5.55002961800517,-3.6993256078191634,-3.9884850288259805,-0.8984649479215545,-0.5662933153040552,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
121,-2.5292680794821223,-5.55002961800517,-3.5131891683743173,-3.9596893810805867,-0.8368015808159164,-0.6272180768338118,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
122,-2.522366740841429,-5.55002961800517,-3.358036986209969,-4.249235117269882,-0.7724707224347763,-0.7842525621486776,-2.322387720290225,-3.40617254708874,-3.054001181677967,-4.099319727648686,-2.246014741505656,
123,-2.51687975862517,-5.742860858411167,-3.352475474548823,-4.29453341890193,-1.0529101351872543,-2.4315130021244267,-2.322387720290225,-3.40617254708874,-3.054001181677967,-4.099319727648686,-2.246014741505656,
124,-2.5127841897604326,-6.1197467595993755,-3.4811430443552673,-4.065130259873575,-1.1322657937097522,-2.332235494798914,-2.545531271604435,-3.2034399930346575,-3.2771447329921766,-3.896587173594603,-2.246014741505656,
125,-2.507349393774476,-5.917014205545281,-3.6271593419560646,-4.081815503169588,-1.1322657937097522,-2.332235494798914,-2.833213344056216,-3.2034399930346575,-3.564826805443958,-3.896587173594603,-2.246014741505656,
126,-2.5032925930788616,-5.917014205545281,-3.8190719454729445,-4.340452193790155,-1.2160356767752112,-2.4403243761296234,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
127,-2.500597173657189,-5.917014205545281,-4.042215496787154,-7.707441973140453,-1.2406069375057165,-2.502563682667929,-3.931825632724326,,-4.663439094112068,,-2.246014741505656,
128,-2.4965676181711873,-5.917014205545281,-3.8252132134950267,-4.312268236239444,-1.1991881062025997,-2.5214123588701076,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
129,-2.489887566610814,-5.742860858411172,-3.8183919046442885,-4.3212297616919475,-1.0508504022242438,-1.6461104852650408,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
130,-2.484575469125924,-5.4112137497060315,-3.819752449071849,-4.3197853200288625,-1.127811443360372,-1.5678098084157355,-3.2386784521643803,-3.40617254708874,-3.970291913552122,-4.099319727648686,-2.246014741505656,
131,-2.4779747850945717,-5.278867472592487,-3.7231435276272893,-4.3197853200288625,-1.2455944790167555,-1.1070786041679668,-3.2386784521643803,-3.40617254708874,-3.564826805443958,-3.896587173594603,-2.246014741505656,
